item_num,rep,ppt,word,f0,f1,f2,duration,ipa,arpa,onset,offset,environment,real_word,age,years_uni,sex,ethnicity,birthplace,home_state,years_lived_hi,L1,exposure_langs_yn,exposure_langs,age_learned_en,speak_other
21,2,P112,boat,213.26,563.9657255,1442.29291,460,o,OW,voiced,voiceless,voiced_voiceless,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
33,3,P112,cot,209.11,691.0346126,1175.418909,470,ɑ,AA,voiceless,voiceless,voiceless_voiceless,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
30,2,P112,but,214.28,718.295815,1561.081668,370,ʌ,AH,voiced,voiceless,voiced_voiceless,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
10,1,P112,bet,210.2,726.9749389,2096.285595,350,ɛ,EH,voiced,voiceless,voiced_voiceless,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
22,1,P112,bode,211.65,583.2374802,1172.550463,400,o,OW,voiced,voiced,voiced_voiced,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
22,2,P112,bode,214.44,559.1477047,1145.652015,400,o,OW,voiced,voiced,voiced_voiced,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
5,3,P112,bod,207.52,628.4266198,1104.201168,420,ɑ,AA,voiced,voiced,voiced_voiced,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
4,2,P112,pat,211.17,988.2190433,1926.078918,420,æ,AE,voiceless,voiceless,voiceless_voiceless,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
24,3,P112,pode,205.23,473.8289375,1169.2777,410,o,OW,voiceless,voiced,voiceless_voiced,notreal,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
10,2,P112,bet,196.19,642.6535152,2154.697635,350,ɛ,EH,voiced,voiceless,voiced_voiceless,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
15,2,P112,peat,264.95,355.5136481,3037.339855,330,i,IY,voiceless,voiceless,voiceless_voiceless,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
22,3,P112,bode,225.77,571.3746299,1232.035358,390,o,OW,voiced,voiced,voiced_voiced,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
18,2,P112,bit,227.42,517.8919874,2322.054025,320,ɪ,IH,voiced,voiceless,voiced_voiceless,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
10,3,P112,bet,210.78,672.7379695,2170.02333,370,ɛ,EH,voiced,voiceless,voiced_voiceless,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
14,2,P112,beat,217.52,323.3860938,2946.832057,330,i,IY,voiced,voiceless,voiced_voiceless,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
27,2,P112,pooed,238.53,367.8415411,2021.072087,480,u,UW,voiceless,voiced,voiceless_voiced,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
17,1,P112,bid,220.11,499.7115467,2377.772164,360,ɪ,IH,voiced,voiced,voiced_voiced,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
28,3,P112,poot,267.17,310.9889124,1702.971133,400,u,UW,voiceless,voiceless,voiceless_voiceless,notreal,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
30,3,P112,but,218.43,666.4240101,1471.082596,360,ʌ,AH,voiced,voiceless,voiced_voiceless,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
27,3,P112,pooed,229.56,381.1056427,2027.742042,460,u,UW,voiceless,voiced,voiceless_voiced,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
